CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00301J,Curtin University,006095F,Doctor of Philosophy (Petroleum Engineering) Research,,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030303 - Mining Engineering,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$168,580.00","$1,000.00","$169,580.00",No
00301J,Curtin University,006110A,Master of Health Administration,,No,06 - Health,0613 - Public Health,"061300 - Public Health, n.f.d.",,,,Masters Degree (Coursework),No,No,0.00,0,0,English,104,"$92,660.00","$1,200.00","$93,860.00",No
00301J,Curtin University,006112K,Graduate Diploma in Business,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Graduate Diploma,No,No,0.00,0,0,English,52,"$47,048.00","$1,000.00","$48,048.00",No
00301J,Curtin University,006827G,Not For Degree - Formal Exchange Programs,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,26,$0.00,$0.00,$0.00,No
00301J,Curtin University,007289K,Graduate Diploma in Food Science and Technology,,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030307 - Food Processing Technology,,,,Graduate Diploma,No,No,0.00,0,0,English,52,"$51,654.00","$2,000.00","$53,654.00",No
00301J,Curtin University,007874D,Graduate Diploma in Health Administration,,No,06 - Health,0613 - Public Health,"061300 - Public Health, n.f.d.",,,,Graduate Diploma,No,No,0.00,0,0,English,52,"$46,502.00","$1,200.00","$47,702.00",No
00301J,Curtin University,0100022,Master of Research (Agriculture),,No,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,050101 - Agricultural Science,,,,Masters Degree (Research),No,No,,,,English,104,"$86,554.00","$1,000.00","$87,554.00",No
00301J,Curtin University,0100023,Master of Research (Biomedical Science),,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Masters Degree (Research),No,No,,,,English,104,"$92,728.00","$1,000.00","$93,728.00",No
00301J,Curtin University,0100024,Master of Research (Chemistry),,No,01 - Natural and Physical Sciences,0105 - Chemical Sciences,"010500 - Chemical Sciences, n.f.d.",,,,Masters Degree (Research),No,No,,,,English,104,"$86,554.00","$1,000.00","$87,554.00",No
00301J,Curtin University,0100025,Master of Research (Earth and Planetary Sciences),,No,01 - Natural and Physical Sciences,0107 - Earth Sciences,"010700 - Earth Sciences, n.f.d.",,,,Masters Degree (Research),No,No,,,,English,104,"$86,554.00","$1,000.00","$87,554.00",No
00301J,Curtin University,0100026,Master of Research (Economics and Finance),,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Masters Degree (Research),No,No,,,,English,104,"$81,262.00","$1,000.00","$82,262.00",No
00301J,Curtin University,0100027,Master of Research (Environmental Science),,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050900 - Environmental Studies, n.f.d.",,,,Masters Degree (Research),No,No,,,,English,104,"$84,790.00","$1,000.00","$85,790.00",No
00301J,Curtin University,0100028,Master of Research (Fine Arts),,No,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,,,,Masters Degree (Research),No,No,,,,English,104,"$81,262.00","$1,000.00","$82,262.00",No
00301J,Curtin University,0100029,Master of Research (Marketing),,No,08 - Management and Commerce,0805 - Sales and Marketing,080505 - Marketing,,,,Masters Degree (Research),No,No,,,,English,104,"$82,915.00","$1,000.00","$83,915.00",No
00301J,Curtin University,0100030,Master of Research (Physics),,No,01 - Natural and Physical Sciences,0103 - Physics and Astronomy,010301 - Physics,,,,Masters Degree (Research),No,No,,,,English,104,"$86,554.00","$1,000.00","$87,554.00",No
00301J,Curtin University,0100217,Doctor of Physiotherapy,,No,06 - Health,0617 - Rehabilitation Therapies,061701 - Physiotherapy,,,,Masters Degree (Coursework),No,Yes,,30,"1,067",English,156,"$161,172.00","$1,200.00","$162,372.00",No
00301J,Curtin University,0100481,Master of Social Work (Qualifying),,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Masters Degree (Coursework),No,Yes,37.50,28,"1,050",English,104,"$92,448.00","$1,200.00","$93,648.00",No
00301J,Curtin University,0100482,Graduate Certificate in Digital Marketing,,No,08 - Management and Commerce,0805 - Sales and Marketing,080505 - Marketing,,,,Graduate Certificate,No,No,,,,English,26,"$26,026.00","$1,000.00","$27,026.00",No
00301J,Curtin University,0100574,Master of Geospatial Intelligence,,No,03 - Engineering and Related Technologies,0311 - Geomatic Engineering,"031100 - Geomatic Engineering, n.f.d.",,,,Masters Degree (Coursework),No,Yes,7.50,1,8,English,104,"$98,272.00","$2,000.00","$100,272.00",No
00301J,Curtin University,0100578,Graduate Diploma in Geospatial Intelligence,,No,03 - Engineering and Related Technologies,0311 - Geomatic Engineering,"031100 - Geomatic Engineering, n.f.d.",,,,Graduate Diploma,No,No,,,,English,52,"$50,136.00","$2,000.00","$52,136.00",No
00301J,Curtin University,0100582,Graduate Certificate in Geospatial Intelligence,,No,03 - Engineering and Related Technologies,0311 - Geomatic Engineering,"031199 - Geomatic Engineering, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$26,068.00","$2,000.00","$28,068.00",No
00301J,Curtin University,0100583,Bachelor of Science (Speech Pathology) (Honours),,No,06 - Health,0617 - Rehabilitation Therapies,061707 - Speech Pathology,,,,Bachelor Honours Degree,No,No,,,,English,208,"$189,312.00","$1,200.00","$190,512.00",No
00301J,Curtin University,0100584,Master of Clinical Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Masters Degree (Coursework),No,Yes,,20,750,English,52,"$47,566.00","$1,200.00","$48,766.00",No
00301J,Curtin University,0100585,Master of Research (Public Health),,No,06 - Health,0613 - Public Health,"061399 - Public Health, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$72,000.00",$60.00,"$72,060.00",No
00301J,Curtin University,0100633,Bachelor of Creative Arts,,No,10 - Creative Arts,1099 - Other Creative Arts,"109999 - Creative Arts, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$124,054.00","$1,000.00","$125,054.00",No
00301J,Curtin University,0100657,Master of Professional Engineering,,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Masters Degree (Coursework),No,Yes,37.50,12,450,English,104,"$109,856.00","$2,000.00","$111,856.00",No
00301J,Curtin University,0100817,Bachelor of Computing,,No,02 - Information Technology,0201 - Computer Science,"020199 - Computer Science, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$137,336.00","$2,000.00","$139,336.00",No
00301J,Curtin University,0100818,Bachelor of Information Technology,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$137,546.00","$2,000.00","$139,546.00",No
00301J,Curtin University,0100978,Doctor of Philosophy - Medicine,,No,06 - Health,0601 - Medical Studies,060101 - General Medicine,,,,Doctoral Degree,No,No,,,,English,208,"$138,592.00","$1,000.00","$139,592.00",No
00301J,Curtin University,0101365,Master of Environment and Climate Emergency,,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Masters Degree (Coursework),No,Yes,,1,18,English,104,"$85,616.00","$1,000.00","$86,616.00",No
00301J,Curtin University,0101366,Graduate Diploma in Environment and Climate Emergency,,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Graduate Diploma,No,Yes,,1,18,English,52,"$41,468.00","$1,000.00","$42,468.00",No
00301J,Curtin University,0101367,Graduate Certificate in Environment and Climate Emergency,,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",,,,Graduate Certificate,No,Yes,,1,6,English,26,"$21,234.00","$1,000.00","$22,234.00",No
00301J,Curtin University,0101368,Master of Accounting,,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Masters Degree (Coursework),No,No,,,,English,78,"$46,300.00",$0.00,"$46,300.00",No
00301J,Curtin University,0101413,Master of TESOL,,No,09 - Society and Culture,0915 - Language and Literature,091521 - Linguistics,,,,Masters Degree (Coursework),No,No,,,,English,104,"$80,320.00","$1,000.00","$81,320.00",No
00301J,Curtin University,0102163,Master of Research (Psychology),,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Masters Degree (Research),No,No,,,,English,104,"$90,964.00","$1,000.00","$91,964.00",No
00301J,Curtin University,010548C,Bachelor of Applied Science (Construction Management),,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,,,,Bachelor Degree,No,Yes,0.00,36,600,English,208,"$168,856.00","$1,000.00","$169,856.00",No
00301J,Curtin University,013905G,Bachelor of Commerce,,No,08 - Management and Commerce,0803 - Business and Management,"080300 - Business and Management, n.f.d.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$124,438.00","$1,000.00","$125,438.00",No
00301J,Curtin University,014167F,Graduate Certificate in Food Science and Technology,,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030307 - Food Processing Technology,,,,Graduate Certificate,No,No,0.00,0,0,English,26,"$26,828.00","$2,000.00","$28,828.00",No
00301J,Curtin University,018007A,Bachelor of Business Administration,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$124,438.00","$1,000.00","$125,438.00",No
00301J,Curtin University,018029F,Graduate Certificate in Human Resources,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Graduate Certificate,No,No,0.00,0,0,English,26,"$26,026.00","$1,000.00","$27,026.00",No
00301J,Curtin University,018030B,Graduate Certificate in Mineral and Energy Economics,,No,09 - Society and Culture,0919 - Economics and Econometrics,"091900 - Economics and Econometrics, n.f.d",,,,Graduate Certificate,No,No,0.00,0,0,English,26,"$21,641.00","$2,000.00","$23,641.00",No
00301J,Curtin University,018629D,Bachelor of Communications,,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$119,236.00","$1,000.00","$120,236.00",No
00301J,Curtin University,020852A,Bachelor of Education (Early Childhood Education),,No,07 - Education,0701 - Teacher Education,070101 - Teacher Education: Early Childhood,,,,Bachelor Degree,No,Yes,0.00,23,840,English,208,"$161,208.00","$1,000.00","$162,208.00",No
00301J,Curtin University,020853M,Bachelor of Education (Primary Education),,No,07 - Education,0701 - Teacher Education,070103 - Teacher Education: Primary,,,,Bachelor Degree,No,Yes,0.00,21,760,English,208,"$161,208.00","$1,000.00","$162,208.00",No
00301J,Curtin University,023967K,Bachelor of Applied Science (Interior Architecture),,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040107 - Interior and Environmental Design,,,,Bachelor Degree,No,No,0.00,0,0,English,208,"$134,724.00","$1,000.00","$135,724.00",No
00301J,Curtin University,023971C,Doctor of Business Administration,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$121,723.00","$1,000.00","$122,723.00",No
00301J,Curtin University,023972B,Doctor of Education,,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$111,799.00","$1,000.00","$112,799.00",No
00301J,Curtin University,023976J,Graduate Certificate in Development Planning,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,,,,Graduate Certificate,No,No,0.00,0,0,English,26,"$21,562.00","$1,000.00","$22,562.00",No
00301J,Curtin University,023985G,Master of Arts (Applied Linguistics),,No,09 - Society and Culture,0915 - Language and Literature,091521 - Linguistics,,,,Masters Degree (Coursework),No,No,,,,English,52,"$43,884.00","$1,000.00","$44,884.00",No
00301J,Curtin University,027213J,Graduate Diploma in Project Management,,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,,,,Graduate Diploma,No,No,0.00,0,0,English,52,"$44,260.00","$1,000.00","$45,260.00",No
00301J,Curtin University,027245A,Master of Science (Project Management),,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,,,,Masters Degree (Coursework),No,No,0.00,0,0,English,78,"$65,890.00","$1,000.00","$66,890.00",No
00301J,Curtin University,027250D,Not For Degree - Study Abroad,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,52,"$25,900.00",$0.00,"$25,900.00",No
00301J,Curtin University,029345C,Bachelor of Agribusiness,,No,"05 - Agriculture, Environmental and Related Studies","0599 - Other Agriculture, Environmental and Related Studies","059999 - Agriculture, Environmental and Related Studies, n.e.c.",,,,Bachelor Degree,No,Yes,38.50,1,38,English,156,"$129,422.00","$2,000.00","$131,422.00",No
00301J,Curtin University,029361C,Graduate Certificate in Project Management,,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,,,,Graduate Certificate,No,No,0.00,0,0,English,26,"$22,630.00","$1,000.00","$23,630.00",No
00301J,Curtin University,030948K,Graduate Certificate in Digital and Social Media,,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Graduate Certificate,No,No,0.00,0,0,English,26,"$20,612.00","$1,000.00","$21,612.00",No
00301J,Curtin University,030949J,Graduate Diploma in Digital and Social Media,,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Graduate Diploma,No,No,0.00,0,0,English,52,"$40,220.00","$1,000.00","$41,220.00",No
00301J,Curtin University,032949D,Bachelor of Science (Speech Pathology),,No,06 - Health,0617 - Rehabilitation Therapies,061707 - Speech Pathology,,,,Bachelor Degree,No,No,,,,English,208,"$144,900.00",$0.00,"$144,900.00",No
00301J,Curtin University,032965D,Graduate Certificate in Indigenous Australian Cultural Studies,,No,09 - Society and Culture,0903 - Studies in Human Society,090311 - Indigenous Studies,,,,Graduate Certificate,No,No,0.00,0,0,English,26,$0.00,$0.00,"$12,200.00",No
00301J,Curtin University,032988G,Master of Digital and Social Media,,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Masters Degree (Coursework),No,No,0.00,0,0,English,78,"$59,830.00","$1,000.00","$60,830.00",No
00301J,Curtin University,033868G,Master of Speech Pathology,,No,06 - Health,0617 - Rehabilitation Therapies,061707 - Speech Pathology,,,,Masters Degree (Coursework),No,Yes,,21,757,English,104,"$104,857.00","$1,200.00","$106,057.00",No
00301J,Curtin University,038785D,Bachelor of Science (Actuarial Science),,No,01 - Natural and Physical Sciences,0101 - Mathematical Sciences,"010199 - Mathematical Sciences, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$128,816.00","$2,000.00","$130,816.00",No
00301J,Curtin University,041070B,Bachelor of Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Degree,No,No,,,,English,208,"$175,512.00","$1,200.00","$176,712.00",No
00301J,Curtin University,041280C,Bachelor of Technology (Computer Systems and Networking),,No,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031305 - Computer Engineering,,,,Bachelor Degree,No,Yes,37.50,8,300,English,156,"$137,546.00","$2,000.00","$139,546.00",No
00301J,Curtin University,041794K,Bachelor of Science (Nursing),,No,06 - Health,0603 - Nursing,060301 - General Nursing,,,,Bachelor Degree,No,Yes,0.00,23,840,English,182,"$167,324.00","$1,200.00","$168,524.00",No
00301J,Curtin University,041930G,Graduate Certificate in Supply Chain Management,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$26,026.00","$1,000.00","$27,026.00",No
00301J,Curtin University,043753C,"Bachelor of Engineering (Chemical Engineering) (Honours), Bachelor of Science (Extractive Metallurgy)",,Yes,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030305 - Materials Engineering,Bachelor Degree,No,Yes,37.50,12,450,English,260,"$240,260.00","$2,000.00","$242,260.00",No
00301J,Curtin University,043932M,Doctor of Philosophy (Architecture and Interior Architecture) Research,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,043949B,Doctor of Philosophy (Applied Geology) Research,,No,01 - Natural and Physical Sciences,0107 - Earth Sciences,010703 - Geology,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$168,580.00","$1,000.00","$169,580.00",No
00301J,Curtin University,043950J,Doctor of Philosophy (Physics) Research,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$168,580.00","$1,000.00","$169,580.00",No
00301J,Curtin University,043951G,Doctor of Philosophy (Chemical Engineering) Research,,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$168,580.00","$1,000.00","$169,580.00",No
00301J,Curtin University,043952G,Doctor of Philosophy (Civil Engineering) Research,,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030903 - Structural Engineering,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$168,580.00","$1,000.00","$169,580.00",No
00301J,Curtin University,043954E,Doctor of Philosophy (Exploration Geophysics) Research,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$168,580.00","$1,000.00","$169,580.00",No
00301J,Curtin University,043955D,Doctor of Philosophy (Mathematics and Statistics) Research,,No,01 - Natural and Physical Sciences,0101 - Mathematical Sciences,010101 - Mathematics,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$152,000.00","$1,000.00","$153,000.00",No
00301J,Curtin University,043956C,Doctor of Philosophy (Mechanical Engineering) Research,,No,03 - Engineering and Related Technologies,0307 - Mechanical and Industrial Engineering and Technology,030701 - Mechanical Engineering,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$168,580.00","$1,000.00","$169,580.00",No
00301J,Curtin University,043957B,Doctor of Philosophy - Medical Radiation Science,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$168,580.00","$1,000.00","$169,580.00",No
00301J,Curtin University,043958A,Doctor of Philosophy (Health Sciences) Research,,No,06 - Health,0613 - Public Health,"061300 - Public Health, n.f.d.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,043959M,Doctor of Philosophy (Humanities) Research,,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,043960G,Doctor of Philosophy (Education ) Research,,No,07 - Education,0703 - Curriculum and Education Studies,070303 - Education Studies,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,043962E,Doctor of Philosophy (Human Communication Science) Research,,No,06 - Health,0617 - Rehabilitation Therapies,061707 - Speech Pathology,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,043964C,Doctor of Philosophy (National Drug Research Institute) Research,,No,06 - Health,0613 - Public Health,"061300 - Public Health, n.f.d.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$163,288.00","$1,000.00","$164,288.00",No
00301J,Curtin University,043965B,Doctor of Philosophy (Psychology) Research,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$180,928.00","$1,000.00","$181,928.00",No
00301J,Curtin University,043967M,Doctor of Philosophy (Accounting) Research,,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,043968K,Doctor of Philosophy (Chemistry) Research,,No,01 - Natural and Physical Sciences,0105 - Chemical Sciences,"010599 - Chemical Sciences, n.e.c.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$168,580.00","$1,000.00","$169,580.00",No
00301J,Curtin University,043971D,Doctor of Philosophy (Biomedical Sciences) Research,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010900 - Biological Sciences, n.f.d.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$180,928.00","$1,000.00","$181,928.00",No
00301J,Curtin University,043987G,Doctor of Philosophy (Computing) Research,,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$168,580.00","$1,000.00","$169,580.00",No
00301J,Curtin University,043988F,Doctor of Philosophy (Design) Research,,No,10 - Creative Arts,1005 - Graphic and Design Studies,100501 - Graphic Arts and Design Studies,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,043989E,Doctor of Philosophy (Economics and Finance) Research,,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,043990A,Doctor of Philosophy (Electrical and Computer Engineering) Research,,No,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031301 - Electrical Engineering,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$168,580.00","$1,000.00","$169,580.00",No
00301J,Curtin University,043991M,Doctor of Philosophy (Information Systems) Research,,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,043993J,Doctor of Philosophy (Management) Research,,No,08 - Management and Commerce,0803 - Business and Management,080307 - Organisation Management,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$60,056.00","$1,000.00","$61,056.00",No
00301J,Curtin University,043994G,Doctor of Philosophy (Marketing) Research,,No,08 - Management and Commerce,0805 - Sales and Marketing,080505 - Marketing,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,043995G,"Doctor of Philosophy (Media, Culture and Creative Arts)",,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,043996F,Doctor of Philosophy (Nursing and Midwifery) Research,,No,06 - Health,0603 - Nursing,060301 - General Nursing,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,043997E,Doctor of Philosophy (Occupational Therapy) Research,,No,06 - Health,0617 - Rehabilitation Therapies,061703 - Occupational Therapy,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$180,928.00","$1,000.00","$181,928.00",No
00301J,Curtin University,043998D,Doctor of Philosophy (Pharmacy) Research,,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$180,928.00","$1,000.00","$181,928.00",No
00301J,Curtin University,043999C,Doctor of Philosophy (Physiotherapy) Research,,No,06 - Health,0617 - Rehabilitation Therapies,061701 - Physiotherapy,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$180,928.00","$1,000.00","$181,928.00",No
00301J,Curtin University,044001B,Doctor of Philosophy (Public Health) Research,,No,06 - Health,0613 - Public Health,"061300 - Public Health, n.f.d.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,044003M,Doctor of Philosophy (Social Work and Social Policy) Research,,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,044005J,Doctor of Philosophy (Mining and Metallurgical Engineering),,No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030303 - Mining Engineering,,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$168,580.00","$1,000.00","$169,580.00",No
00301J,Curtin University,044636M,Graduate Certificate in Marketing,,No,08 - Management and Commerce,0805 - Sales and Marketing,080505 - Marketing,,,,Graduate Certificate,No,No,0.00,0,0,English,26,"$26,026.00","$1,000.00","$27,026.00",No
00301J,Curtin University,046654D,"Bachelor of Science (Health Promotion), Bachelor of Science (Health and Safety)",,Yes,06 - Health,0613 - Public Health,061307 - Health Promotion,06 - Health,0613 - Public Health,061301 - Occupational Health and Safety,Bachelor Degree,No,Yes,,39,350,English,208,"$184,744.00","$1,200.00","$185,944.00",No
00301J,Curtin University,046656B,"Bachelor of Science (Nutrition), Bachelor of Science (Health Promotion)",,Yes,06 - Health,0699 - Other Health,069901 - Nutrition and Dietetics,06 - Health,0613 - Public Health,061307 - Health Promotion,Bachelor Degree,No,Yes,0.00,3,106,English,208,"$184,744.00","$1,200.00","$185,944.00",No
00301J,Curtin University,048085E,Doctor of Philosophy (Social Sciences) Research,,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",,,,Doctoral Degree,No,No,0.00,0,0,English,208,"$161,524.00","$1,000.00","$162,524.00",No
00301J,Curtin University,049881B,Master of Information Systems and Technology,,No,02 - Information Technology,0203 - Information Systems,"020300 - Information Systems, n.f.d.",,,,Masters Degree (Coursework),No,No,0.00,0,0,English,78,"$47,278.00","$1,000.00","$48,278.00",No
00301J,Curtin University,049883M,Graduate Certificate in Information Systems and Technology,,No,02 - Information Technology,0203 - Information Systems,"020300 - Information Systems, n.f.d.",,,,Graduate Certificate,No,No,0.00,0,0,English,26,"$26,026.00","$1,000.00","$27,026.00",No
00301J,Curtin University,049886G,Graduate Certificate in Clinical Physiotherapy,,No,06 - Health,0617 - Rehabilitation Therapies,061701 - Physiotherapy,,,,Graduate Certificate,No,No,0.00,0,0,English,26,"$27,862.00","$1,200.00","$29,062.00",No
00301J,Curtin University,049888F,Master of Clinical Physiotherapy,,No,06 - Health,0617 - Rehabilitation Therapies,061701 - Physiotherapy,,,,Masters Degree (Coursework),No,No,,,,English,52,"$54,524.00","$1,200.00","$55,724.00",No
00301J,Curtin University,050336F,"Bachelor of Engineering (Chemical Engineering) (Honours), Bachelor of Science (Chemistry)",,Yes,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,01 - Natural and Physical Sciences,0105 - Chemical Sciences,"010599 - Chemical Sciences, n.e.c.",Bachelor Degree,No,Yes,37.50,12,450,English,260,"$240,260.00","$2,000.00","$242,260.00",No
